skill,market_demand_percent,student_level,gap_score
net,0.06926975099347406,0,0.06926975099347406
javascript,0.13853950198694812,0,0.13853950198694812
html,0.17135148929964636,0,0.17135148929964636
search new customers and bring business for the company,0.06562397462539647,0,0.06562397462539647
to promote business in the given region or country and manage business accounts of customers,0.061978198257318894,0,0.061978198257318894
responsible for acting as a liaison between our customer and the respective client,0.10937329104232746,0,0.10937329104232746
provides assistance to the customers with their questions,0.07656130372962922,0,0.07656130372962922
issues,0.1458310547231033,0,0.1458310547231033
new orders,0.13853950198694812,0,0.13853950198694812
service delivery requirements,0.13489372561887053,0,0.13489372561887053
billing,0.13124794925079294,0,0.13124794925079294
and any other query,0.1276021728827154,0,0.1276021728827154
location: karachi,0.047395092785008565,0,0.047395092785008565
international clients dealing exposure (bb) and (bc),0.047395092785008565,0,0.047395092785008565
comcandidates with less than  years experience will not be considered for this position,0.04010354004885341,0,0.04010354004885341
to generate quality leads that result in sales,0.17499726566772394,0,0.17499726566772394
cold calling to arrange meetings with potential customers to prospect for business,0.17499726566772394,0,0.17499726566772394
work with team to achieve sales performance targets,0.16770571293156877,0,0.16770571293156877
develop and maintain client portfolioonline commodity trading (train,0.13489372561887053,0,0.13489372561887053
test,0.1020817383061723,0,0.1020817383061723
and document code,0.043749316416930986,0,0.043749316416930986
product area and systems,0.043749316416930986,0,0.043749316416930986
makes suggestions to fix amp,0.043749316416930986,0,0.043749316416930986
improve things,0.043749316416930986,0,0.043749316416930986
design,0.1640599365634912,0,0.1640599365634912
we are a leading bpo/cann center company based in lahore,0.05468664552116373,0,0.05468664552116373
as part of our expension plans,0.05468664552116373,0,0.05468664552116373
we are actively hiring call center agents / executives,0.043749316416930986,0,0.043749316416930986
about the organization:intersoft bpo solutions is one of the leading bpo and it solutions provid,0.043749316416930986,0,0.043749316416930986
in,0.047395092785008565,0,0.047395092785008565
what is a franchise service executive?the franchise service executive works closely with the franchise team to improve customer experience and uplift the franchise outlook,0.058332421889241315,0,0.058332421889241315
we’re building a movement - an education revolution,0.043749316416930986,0,0.043749316416930986
we’re building a world where anyone,0.043749316416930986,0,0.043749316416930986
anywhere can have access to the best education regardless of where they were born,0.043749316416930986,0,0.043749316416930986
at our core,0.043749316416930986,0,0.043749316416930986
we believe education is a right,0.043749316416930986,0,0.043749316416930986
not a privilege,0.043749316416930986,0,0.043749316416930986
to that end,0.043749316416930986,0,0.043749316416930986
we give you the opportunity to become a skilled professional in your chosen field of interest,0.07291552736155164,0,0.07291552736155164
being rated as the top employer of the country,0.07291552736155164,0,0.07291552736155164
we enable you to realize your dreams in an environment of,0.06562397462539647,0,0.06562397462539647
employment type: this is a full time,0.043749316416930986,0,0.043749316416930986
permanent position,0.043749316416930986,0,0.043749316416930986
grade: this is a grade  position,0.08020708009770681,0,0.08020708009770681
we&rsquo,0.1276021728827154,0,0.1276021728827154
what is a territory sales supervisor?tss team is a sub part of the regional operating model lead by the regional business head,0.06562397462539647,0,0.06562397462539647
this position reports to the area sales manager who leads a team of two to three tsss,0.06562397462539647,0,0.06562397462539647
we work with internal and external,0.06562397462539647,0,0.06562397462539647
franchise service executive reports to an area manager who is responsible for,0.05104086915308615,0,0.05104086915308615
social media,0.06562397462539647,0,0.06562397462539647
you&rsquo,0.09114440920193956,0,0.09114440920193956
planning,0.058332421889241315,0,0.058332421889241315
as one of the leading employers in the country,0.06562397462539647,0,0.06562397462539647
jazz epitomizes the philosophy that each jazz employee is passionately living a better every day inspired and enabled by visionary leadership,0.06926975099347406,0,0.06926975099347406
a unique professional culture,0.06562397462539647,0,0.06562397462539647
a flourishing lifestyle,0.043749316416930986,0,0.043749316416930986
and,0.07291552736155164,0,0.07291552736155164
&middot,0.1020817383061723,0,0.1020817383061723
testable,0.04010354004885341,0,0.04010354004885341
jquery,0.08749863283386197,0,0.08749863283386197
bootstrap,0.06562397462539647,0,0.06562397462539647
development,0.04010354004885341,0,0.04010354004885341
provides assistance via chat and/or email to the customers with their questions,0.061978198257318894,0,0.061978198257318894
esca,0.05104086915308615,0,0.05104086915308615
js,0.1276021728827154,0,0.1276021728827154
css,0.27707900397389623,0,0.27707900397389623
the candidate will be responsible for different types of tasks,0.08749863283386197,0,0.08749863283386197
islamabad,0.09843596193809472,0,0.09843596193809472
jr,0.04010354004885341,0,0.04010354004885341
mysql,0.08385285646578439,0,0.08385285646578439
your primary focus will be the development of all server-side logic,0.07656130372962922,0,0.07656130372962922
in this role,0.08385285646578439,0,0.08385285646578439
develop,0.08385285646578439,0,0.08385285646578439
php,0.05104086915308615,0,0.05104086915308615
energetic,0.05468664552116373,0,0.05468664552116373
brochures,0.04010354004885341,0,0.04010354004885341
if you&#,0.08385285646578439,0,0.08385285646578439
node,0.058332421889241315,0,0.058332421889241315
we&#,0.15312260745925843,0,0.15312260745925843
it&#,0.058332421889241315,0,0.058332421889241315
lahore,0.08020708009770681,0,0.08020708009770681
you&#,0.09114440920193956,0,0.09114440920193956
we are looking for young,0.04010354004885341,0,0.04010354004885341
we are looking for fresh candidates who are searching for internship programs in lahore only which can lead to a suitable job,0.043749316416930986,0,0.043749316416930986
the internship program will be for  months,0.043749316416930986,0,0.043749316416930986
in this program  months are unpaid and  months are paid,0.043749316416930986,0,0.043749316416930986
after successfully,0.043749316416930986,0,0.043749316416930986
we are looking for some ambitious,0.04010354004885341,0,0.04010354004885341
build,0.05468664552116373,0,0.05468664552116373
send your resume now,0.05104086915308615,0,0.05104086915308615
-,0.047395092785008565,0,0.047395092785008565
it&rsquo,0.09114440920193956,0,0.09114440920193956
wordpress,0.047395092785008565,0,0.047395092785008565
com,0.043749316416930986,0,0.043749316416930986
sales &amp,0.047395092785008565,0,0.047395092785008565
#name?,0.043749316416930986,0,0.043749316416930986
your primary responsibilities will be to implement game functionality translating design ideas,0.058332421889241315,0,0.058332421889241315
s a software development,0.043749316416930986,0,0.043749316416930986
) ltd,0.058332421889241315,0,0.058332421889241315
concepts,0.05468664552116373,0,0.05468664552116373
