Job Name,label,Company Name,Job Type,Experience Required,Department,JD,City,Date Posted,Skills_List,Normalized_Skills,clean_jd,month,JD_cleaned,Experience_Years,IT_Skills,CS_Skills,IT_Skills_Count,CS_Skills_Count,Python_Demand,ML_Demand,DataScience_Demand,Cloud_Demand,Skill_Gap_Score,Combined_Text,High_Demand,Demand_Score,JD_Cleaned,Extracted_Skills,Cleaned_JD,Exp_Years,City_Code,Dept_Code,Estimated_Salary
"Full Time New Job Positions .Net, .Netcore, Flutter, Tea Boy Jobs in Pakistan",Premium Job,"Nayel Solutions, Pakistan",Full Time Job,2 Years Job Exp.,IT Jobs,"New Job Positions .net, .netcore, flutter, Tea boy in Nayel Solutions3 Positions for .net \ .netcore Developer programming language c#2 Positions for Flutter dart Developer1 Position for Tea boy",Islamabad,2021-03-12,"['new job positions', 'net', 'netcore', 'flutter', 'tea boy in nayel solutions3 positions for', 'net \\', 'netcore developer programming language c#2 positions for flutter dart developer1 position for tea boy']","['new job positions', 'net', 'netcore', 'flutter', 'tea boy in nayel solutions positions for', 'net \\', 'netcore developer programming language c# positions for flutter dart developer position for tea boy']",new job positions net netcore flutter tea boy in nayel solutions3 positions for net netcore developer programming language c 2 positions for flutter dart developer1 position for tea boy,2021-03,new job positions net netcore flutter tea boy in nayel solutions3 positions for net netcore developer programming language c 2 positions for flutter dart developer1 position for tea boy,2,[],[],0,0,0,0,0,0,0.0,"Full Time New Job Positions .Net, .Netcore, Flutter, Tea Boy Jobs in Pakistan New Job Positions .net, .netcore, flutter, Tea boy in Nayel Solutions3 Positions for .net \ .netcore Developer programming language c#2 Positions for Flutter dart Developer1 Position for Tea boy IT Jobs",0,2.6709632769406078e-11,new job positions net netcore flutter tea boy in nayel solutions3 positions for net netcore developer programming language c 2 positions for flutter dart developer1 position for tea boy,['r'],new job positions net netcore flutter tea boy in nayel solutions positions for net  netcore developer programming language c positions for flutter dart developer position for tea boy,2,37,50,95000
Full Time Senior Web Developer Jobs in Pakistan,Premium Job,"Eurosoft Tech Private Limited, Pakistan",Full Time Job,2 Years Job Exp.,IT Jobs,"We are looking for an experienced Web Developer.Responsible for creating the design and layout of a website or web pagesKnowledge Of Front End Technologies Including CSS3, JavaScript, HTML5, And jQuery.Familiarity With Word Press Development and E-Co",Karachi,2021-03-12,"['we are looking for an experienced web developer', 'responsible for creating the design and layout of a website or web pagesknowledge of front end technologies including css3', 'javascript', 'html5', 'and jquery', 'familiarity with word press development and e-co']","['we are looking for an experienced web developer', 'responsible for creating the design and layout of a website or web pagesknowledge of front end technologies including css', 'javascript', 'html', 'and jquery', 'familiarity with word press development and e-co']",we are looking for an experienced web developer responsible for creating the design and layout of a website or web pagesknowledge of front end technologies including css3 javascript html5 and jquery familiarity with word press development and e co,2021-03,we are looking for an experienced web developer responsible for creating the design and layout of a website or web pagesknowledge of front end technologies including css3 javascript html5 and jquery familiarity with word press development and e-co,2,"['java', 'javascript', 'html', 'css']",[],4,0,0,0,0,0,0.9333333333333332,"Full Time Senior Web Developer Jobs in Pakistan We are looking for an experienced Web Developer.Responsible for creating the design and layout of a website or web pagesKnowledge Of Front End Technologies Including CSS3, JavaScript, HTML5, And jQuery.Familiarity With Word Press Development and E-Co IT Jobs",1,0.9999998807907104,we are looking for an experienced web developer responsible for creating the design and layout of a website or web pagesknowledge of front end technologies including css3 javascript html5 and jquery familiarity with word press development and e co,"['javascript', 'java', 'r']",we are looking for an experienced web developerresponsible for creating the design and layout of a website or web pagesknowledge of front end technologies including css javascript html and jqueryfamiliarity with word press development and eco,2,43,50,95000
Full Time Russian Speakers Jobs in Pakistan,Premium Job,"ICM JAPAN, Pakistan",Full Time Job,< 1 Year,Customer Service,International clients dealing exposure (B2B).Search new customers and bring business for the company.To promote business in the given region or country and Manage Business Accounts of customers.To maintain quality services with existing customers.Sal,Karachi,2021-03-12,"['international clients dealing exposure (b2b)', 'search new customers and bring business for the company', 'to promote business in the given region or country and manage business accounts of customers', 'to maintain quality services with existing customers', 'sal']","['international clients dealing exposure (bb)', 'search new customers and bring business for the company', 'to promote business in the given region or country and manage business accounts of customers', 'to maintain quality services with existing customers', 'sal']",international clients dealing exposure b2b search new customers and bring business for the company to promote business in the given region or country and manage business accounts of customers to maintain quality services with existing customers sal,2021-03,international clients dealing exposure b2b search new customers and bring business for the company to promote business in the given region or country and manage business accounts of customers to maintain quality services with existing customers sal,1,['ai'],[],1,0,0,0,0,0,0.4666666666666666,Full Time Russian Speakers Jobs in Pakistan International clients dealing exposure (B2B).Search new customers and bring business for the company.To promote business in the given region or country and Manage Business Accounts of customers.To maintain quality services with existing customers.Sal Customer Service,0,3.27549502516234e-32,international clients dealing exposure b2b search new customers and bring business for the company to promote business in the given region or country and manage business accounts of customers to maintain quality services with existing customers sal,['r'],international clients dealing exposure bbsearch new customers and bring business for the companyto promote business in the given region or country and manage business accounts of customersto maintain quality services with existing customerssal,1,43,27,60000
Full Time Customer Support Specialist - International Jobs in Pakistan,Premium Job,"ibex, Pakistan",Full Time Job,Job for Fresh Graduates,Customer Service,"Responsible for acting as a liaison between our customer and the respective client. Provides assistance to the customers with their questions, issues, new orders, service delivery requirements, billing, and any other query.Location: Karachi, Lahore &",Islamabad,2021-03-09,"['responsible for acting as a liaison between our customer and the respective client', 'provides assistance to the customers with their questions', 'issues', 'new orders', 'service delivery requirements', 'billing', 'and any other query', 'location: karachi', 'lahore &']","['responsible for acting as a liaison between our customer and the respective client', 'provides assistance to the customers with their questions', 'issues', 'new orders', 'service delivery requirements', 'billing', 'and any other query', 'location: karachi', 'lahore &']",responsible for acting as a liaison between our customer and the respective client provides assistance to the customers with their questions issues new orders service delivery requirements billing and any other query location karachi lahore,2021-03,responsible for acting as a liaison between our customer and the respective client provides assistance to the customers with their questions issues new orders service delivery requirements billing and any other query location karachi lahore,0,['ai'],[],1,0,0,0,0,0,0.7,"Full Time Customer Support Specialist - International Jobs in Pakistan Responsible for acting as a liaison between our customer and the respective client. Provides assistance to the customers with their questions, issues, new orders, service delivery requirements, billing, and any other query.Location: Karachi, Lahore & Customer Service",0,2.728186701312956e-34,responsible for acting as a liaison between our customer and the respective client provides assistance to the customers with their questions issues new orders service delivery requirements billing and any other query location karachi lahore,['r'],responsible for acting as a liaison between our customer and the respective client provides assistance to the customers with their questions issues new orders service delivery requirements billing and any other querylocation karachi lahore ,0,37,27,45000
Full Time English Speaker - International Business Development Executive - BDE Job in Pakistan,Premium Job,"ICM JAPAN, Pakistan",Full Time Job,< 1 Year,Customer Service Job,International clients dealing exposure (B2B) and (B2C).Search new customers and bring business for the company.To promote business in the given region or country and Manage Business Accounts of customers.To maintain quality services with existing cus,Karachi,2021-03-05,"['international clients dealing exposure (b2b) and (b2c)', 'search new customers and bring business for the company', 'to promote business in the given region or country and manage business accounts of customers', 'to maintain quality services with existing cus']","['international clients dealing exposure (bb) and (bc)', 'search new customers and bring business for the company', 'to promote business in the given region or country and manage business accounts of customers', 'to maintain quality services with existing cus']",international clients dealing exposure b2b and b2c search new customers and bring business for the company to promote business in the given region or country and manage business accounts of customers to maintain quality services with existing cus,2021-03,international clients dealing exposure b2b and b2c search new customers and bring business for the company to promote business in the given region or country and manage business accounts of customers to maintain quality services with existing cus,1,['ai'],[],1,0,0,0,0,0,0.4666666666666666,Full Time English Speaker - International Business Development Executive - BDE Job in Pakistan International clients dealing exposure (B2B) and (B2C).Search new customers and bring business for the company.To promote business in the given region or country and Manage Business Accounts of customers.To maintain quality services with existing cus Customer Service Job,0,2.8483010067387895e-37,international clients dealing exposure b2b and b2c search new customers and bring business for the company to promote business in the given region or country and manage business accounts of customers to maintain quality services with existing cus,['r'],international clients dealing exposure bb and bcsearch new customers and bring business for the companyto promote business in the given region or country and manage business accounts of customersto maintain quality services with existing cus,1,43,28,60000
Full Time Socks Operation Manager And Socks Inspector - Textiles Job in Pakistan,Premium Job,"Uni Hosiery Co. Inc., Pakistan",Full Time Job,5 Years Job Exp.,Production Job,"NOTE: Apply By Sending Your CV/Resume to: hrdpk @ unihosiery.comCandidates with less than 5 years experience will not be considered for this position.
A US based national-leading hosiery importer is seeking for candidates who can join us as &#39; Soc",Faisalabad,2021-03-05,"['note: apply by sending your cv/resume to: hrdpk @ unihosiery', 'comcandidates with less than 5 years experience will not be considered for this position', 'a us based national-leading hosiery importer is seeking for candidates who can join us as &#39', 'soc']","['note: apply by sending your cv/resume to: hrdpk @ unihosiery', 'comcandidates with less than  years experience will not be considered for this position', 'a us based national-leading hosiery importer is seeking for candidates who can join us as &#', 'soc']",note apply by sending your cv resume to hrdpk unihosiery comcandidates with less than 5 years experience will not be considered for this position a us based national leading hosiery importer is seeking for candidates who can join us as 39 soc,2021-03,note apply by sending your cv resume to hrdpk unihosiery comcandidates with less than 5 years experience will not be considered for this position a us based national-leading hosiery importer is seeking for candidates who can join us as 39 soc,5,[],[],0,0,0,0,0,0,0.0,"Full Time Socks Operation Manager And Socks Inspector - Textiles Job in Pakistan NOTE: Apply By Sending Your CV/Resume to: hrdpk @ unihosiery.comCandidates with less than 5 years experience will not be considered for this position.
A US based national-leading hosiery importer is seeking for candidates who can join us as &#39; Soc Production Job",0,2.5634202189579454e-28,note apply by sending your cv resume to hrdpk unihosiery comcandidates with less than 5 years experience will not be considered for this position a us based national leading hosiery importer is seeking for candidates who can join us as 39 soc,['r'],"note apply by sending your cvresume to hrdpk  unihosierycomcandidates with less than  years experience will not be considered for this position
a us based nationalleading hosiery importer is seeking for candidates who can join us as  soc",5,26,80,110000
Full Time Call Center - Lead Agent Jobs in Pakistan,Premium Job,"Pakistan Sweet Home AFP, Pakistan",Full Time Job,3 Years Job Exp.,Sales Jobs,"Each Lead Agent is responsible for generating a sales lead of Rs 100,000 (minimum). The agent has to establish his potential clientele database and keep follow up regularly.Job ResponsibilitiesMaking outbound phone calls to our donors, members and pr",Islamabad,2021-02-22,"['each lead agent is responsible for generating a sales lead of rs 100', '000 (minimum)', 'the agent has to establish his potential clientele database and keep follow up regularly', 'job responsibilitiesmaking outbound phone calls to our donors', 'members and pr']","['each lead agent is responsible for generating a sales lead of rs', '(minimum)', 'the agent has to establish his potential clientele database and keep follow up regularly', 'job responsibilitiesmaking outbound phone calls to our donors', 'members and pr']",each lead agent is responsible for generating a sales lead of rs 100 000 minimum the agent has to establish his potential clientele database and keep follow up regularly job responsibilitiesmaking outbound phone calls to our donors members and pr,2021-02,each lead agent is responsible for generating a sales lead of rs 100 000 minimum the agent has to establish his potential clientele database and keep follow up regularly job responsibilitiesmaking outbound phone calls to our donors members and pr,3,['database'],['sales'],1,1,0,0,0,0,0.25,"Full Time Call Center - Lead Agent Jobs in Pakistan Each Lead Agent is responsible for generating a sales lead of Rs 100,000 (minimum). The agent has to establish his potential clientele database and keep follow up regularly.Job ResponsibilitiesMaking outbound phone calls to our donors, members and pr Sales Jobs",0,6.611788767733787e-24,each lead agent is responsible for generating a sales lead of rs 100 000 minimum the agent has to establish his potential clientele database and keep follow up regularly job responsibilitiesmaking outbound phone calls to our donors members and pr,['r'],each lead agent is responsible for generating a sales lead of rs  minimum the agent has to establish his potential clientele database and keep follow up regularlyjob responsibilitiesmaking outbound phone calls to our donors members and pr,3,37,93,90000
Full Time Manager Accounts & Taxation (CA) Jobs in Pakistan,Premium Job,"Mercantile Enterprises Pvt Ltd, Pakistan",Full Time Job,4 Years Job Exp.,Publishing Jobs,"We at Mercantile Enterprises (Pvt) Ltd is looking for an experienced Manager Accounts &amp; TaxationTo prepare final accounts as per accounting standards, ensuring compliance with statutory and company requirements;To establish, maintain, monitor, co",Lahore,2021-02-19,"['we at mercantile enterprises (pvt) ltd is looking for an experienced manager accounts &amp', 'taxationto prepare final accounts as per accounting standards', 'ensuring compliance with statutory and company requirements', 'to establish', 'maintain', 'monitor', 'co']","['we at mercantile enterprises (pvt) ltd is looking for an experienced manager accounts &amp', 'taxationto prepare final accounts as per accounting standards', 'ensuring compliance with statutory and company requirements', 'to establish', 'maintain', 'monitor', 'co']",we at mercantile enterprises pvt ltd is looking for an experienced manager accounts amp taxationto prepare final accounts as per accounting standards ensuring compliance with statutory and company requirements to establish maintain monitor co,2021-02,we at mercantile enterprises pvt ltd is looking for an experienced manager accounts amp taxationto prepare final accounts as per accounting standards ensuring compliance with statutory and company requirements to establish maintain monitor co,4,['ai'],[],1,0,0,0,0,0,0.13999999999999999,"Full Time Manager Accounts & Taxation (CA) Jobs in Pakistan We at Mercantile Enterprises (Pvt) Ltd is looking for an experienced Manager Accounts &amp; TaxationTo prepare final accounts as per accounting standards, ensuring compliance with statutory and company requirements;To establish, maintain, monitor, co Publishing Jobs",0,5.170192971800736e-15,we at mercantile enterprises pvt ltd is looking for an experienced manager accounts amp taxationto prepare final accounts as per accounting standards ensuring compliance with statutory and company requirements to establish maintain monitor co,['r'],we at mercantile enterprises pvt ltd is looking for an experienced manager accounts amp taxationto prepare final accounts as per accounting standards ensuring compliance with statutory and company requirementsto establish maintain monitor co,4,49,83,105000
"Online Full Time Remote Researcher, Content Creator, And Assistant Job in Pakistan",Premium Job,"Confidential, Pakistan",Full Time Job,< 1 Year,Admin Job,"This job is a remote working opportunity. We are a small service company located in Texas. We specialize in piano tuning, moving, repair, and restoration.Job Benefits Ability to work from home with flexible scheduling, only 1-2 hours of fixed schedul",Faisalabad,2021-02-17,"['this job is a remote working opportunity', 'we are a small service company located in texas', 'we specialize in piano tuning', 'moving', 'repair', 'and restoration', 'job benefits ability to work from home with flexible scheduling', 'only 1-2 hours of fixed schedul']","['this job is a remote working opportunity', 'we are a small service company located in texas', 'we specialize in piano tuning', 'moving', 'repair', 'and restoration', 'job benefits ability to work from home with flexible scheduling', 'only - hours of fixed schedul']",this job is a remote working opportunity we are a small service company located in texas we specialize in piano tuning moving repair and restoration job benefits ability to work from home with flexible scheduling only 1 2 hours of fixed schedul,2021-02,this job is a remote working opportunity we are a small service company located in texas we specialize in piano tuning moving repair and restoration job benefits ability to work from home with flexible scheduling only 1-2 hours of fixed schedul,1,['ai'],[],1,0,0,0,0,0,0.4666666666666666,"Online Full Time Remote Researcher, Content Creator, And Assistant Job in Pakistan This job is a remote working opportunity. We are a small service company located in Texas. We specialize in piano tuning, moving, repair, and restoration.Job Benefits Ability to work from home with flexible scheduling, only 1-2 hours of fixed schedul Admin Job",0,5.581921313370067e-28,this job is a remote working opportunity we are a small service company located in texas we specialize in piano tuning moving repair and restoration job benefits ability to work from home with flexible scheduling only 1 2 hours of fixed schedul,['r'],this job is a remote working opportunity we are a small service company located in texas we specialize in piano tuning moving repair and restorationjob benefits ability to work from home with flexible scheduling only  hours of fixed schedul,1,26,2,50000
Full Time Angularjs And .Net Core Developer Jobs in Pakistan,Premium Job,"Eurosoft Tech Private Limited, Pakistan",Full Time Job,7 Years Job Exp.,IT Jobs,"Command on following skillsAngularJS
NodeJs
Dot net core
C# MVC
jQuery
Restful API architecture
web socket
IIS configuration
Push Notification
Sql server 2019, Visual studio 2017minimum 7 years good work experience required.
Responsible for developme",Karachi,2021-02-16,"['command on following skillsangularjs nodejs dot net core c# mvc jquery restful api architecture web socket iis configuration push notification sql server 2019', 'visual studio 2017minimum 7 years good work experience required', 'responsible for developme']","['command on following skillsangularjs nodejs dot net core c# mvc jquery restful api architecture web socket iis configuration push notification sql server', 'visual studio minimum  years good work experience required', 'responsible for developme']",command on following skillsangularjs nodejs dot net core c mvc jquery restful api architecture web socket iis configuration push notification sql server 2019 visual studio 2017minimum 7 years good work experience required responsible for developme,2021-02,command on following skillsangularjs nodejs dot net core c mvc jquery restful api architecture web socket iis configuration push notification sql server 2019 visual studio 2017minimum 7 years good work experience required responsible for developme,7,"['sql', 'nodejs', 'api']",[],3,0,0,0,0,0,0.26249999999999996,"Full Time Angularjs And .Net Core Developer Jobs in Pakistan Command on following skillsAngularJS
NodeJs
Dot net core
C# MVC
jQuery
Restful API architecture
web socket
IIS configuration
Push Notification
Sql server 2019, Visual studio 2017minimum 7 years good work experience required.
Responsible for developme IT Jobs",1,0.9999995231628418,command on following skillsangularjs nodejs dot net core c mvc jquery restful api architecture web socket iis configuration push notification sql server 2019 visual studio 2017minimum 7 years good work experience required responsible for developme,"['r', 'sql']","command on following skillsangularjs
nodejs
dot net core
c mvc
jquery
restful api architecture
web socket
iis configuration
push notification
sql server  visual studio minimum  years good work experience required
responsible for developme",7,43,50,170000
